programming_language,tools_programming_languages,salary_monthly_NETO,salary_monthly_BRUTO,cured_programming_languages
css,"CSS, Groovy, HTML, Javascript, Python, SQL",67000.0,98000.0,"['css', 'groovy', 'html', 'javascript', 'python', 'sql']"
groovy,"CSS, Groovy, HTML, Javascript, Python, SQL",67000.0,98000.0,"['css', 'groovy', 'html', 'javascript', 'python', 'sql']"
html,"CSS, Groovy, HTML, Javascript, Python, SQL",67000.0,98000.0,"['css', 'groovy', 'html', 'javascript', 'python', 'sql']"
javascript,"CSS, Groovy, HTML, Javascript, Python, SQL",67000.0,98000.0,"['css', 'groovy', 'html', 'javascript', 'python', 'sql']"
python,"CSS, Groovy, HTML, Javascript, Python, SQL",67000.0,98000.0,"['css', 'groovy', 'html', 'javascript', 'python', 'sql']"
sql,"CSS, Groovy, HTML, Javascript, Python, SQL",67000.0,98000.0,"['css', 'groovy', 'html', 'javascript', 'python', 'sql']"
bash/shell,"Bash/Shell, Python",80000.0,100000.0,"['bash/shell', 'python']"
python,"Bash/Shell, Python",80000.0,100000.0,"['bash/shell', 'python']"
sql,SQL,70000.0,112000.0,['sql']
bash/shell,"Bash/Shell, Python, Scala, SQL",99000.0,138000.0,"['bash/shell', 'python', 'scala', 'sql']"
python,"Bash/Shell, Python, Scala, SQL",99000.0,138000.0,"['bash/shell', 'python', 'scala', 'sql']"
scala,"Bash/Shell, Python, Scala, SQL",99000.0,138000.0,"['bash/shell', 'python', 'scala', 'sql']"
sql,"Bash/Shell, Python, Scala, SQL",99000.0,138000.0,"['bash/shell', 'python', 'scala', 'sql']"
javascript,"Javascript, Python",54000.0,65000.0,"['javascript', 'python']"
python,"Javascript, Python",54000.0,65000.0,"['javascript', 'python']"
groovy,"Groovy, Java, Python, SQL",74000.0,95000.0,"['groovy', 'java', 'python', 'sql']"
java,"Groovy, Java, Python, SQL",74000.0,95000.0,"['groovy', 'java', 'python', 'sql']"
python,"Groovy, Java, Python, SQL",74000.0,95000.0,"['groovy', 'java', 'python', 'sql']"
sql,"Groovy, Java, Python, SQL",74000.0,95000.0,"['groovy', 'java', 'python', 'sql']"
go,"Go, Java",38834.0,128907.0,"['go', 'java']"
java,"Go, Java",38834.0,128907.0,"['go', 'java']"
net,".NET, Java",120000.0,150000.0,"['net', 'java']"
java,".NET, Java",120000.0,150000.0,"['net', 'java']"
css,"CSS, HTML, Javascript, PHP, SQL",53000.0,68000.0,"['css', 'html', 'javascript', 'php', 'sql']"
html,"CSS, HTML, Javascript, PHP, SQL",53000.0,68000.0,"['css', 'html', 'javascript', 'php', 'sql']"
javascript,"CSS, HTML, Javascript, PHP, SQL",53000.0,68000.0,"['css', 'html', 'javascript', 'php', 'sql']"
php,"CSS, HTML, Javascript, PHP, SQL",53000.0,68000.0,"['css', 'html', 'javascript', 'php', 'sql']"
sql,"CSS, HTML, Javascript, PHP, SQL",53000.0,68000.0,"['css', 'html', 'javascript', 'php', 'sql']"
java,"Dart, Java, Scala, SQL",90000.0,120000.0,"['dart', 'java', 'scala', 'sql']"
scala,"Dart, Java, Scala, SQL",90000.0,120000.0,"['dart', 'java', 'scala', 'sql']"
sql,"Dart, Java, Scala, SQL",90000.0,120000.0,"['dart', 'java', 'scala', 'sql']"
go,"Go, Java, Javascript, Python",140000.0,185000.0,"['go', 'java', 'javascript', 'python']"
java,"Go, Java, Javascript, Python",140000.0,185000.0,"['go', 'java', 'javascript', 'python']"
javascript,"Go, Java, Javascript, Python",140000.0,185000.0,"['go', 'java', 'javascript', 'python']"
python,"Go, Java, Javascript, Python",140000.0,185000.0,"['go', 'java', 'javascript', 'python']"
css,"CSS, HTML, Javascript, PHP, SQL",25550.0,29450.0,"['css', 'html', 'javascript', 'php', 'sql']"
html,"CSS, HTML, Javascript, PHP, SQL",25550.0,29450.0,"['css', 'html', 'javascript', 'php', 'sql']"
javascript,"CSS, HTML, Javascript, PHP, SQL",25550.0,29450.0,"['css', 'html', 'javascript', 'php', 'sql']"
php,"CSS, HTML, Javascript, PHP, SQL",25550.0,29450.0,"['css', 'html', 'javascript', 'php', 'sql']"
sql,"CSS, HTML, Javascript, PHP, SQL",25550.0,29450.0,"['css', 'html', 'javascript', 'php', 'sql']"
bash/shell,"Bash/Shell, Python, R",79000.0,101000.0,"['bash/shell', 'python', 'r']"
python,"Bash/Shell, Python, R",79000.0,101000.0,"['bash/shell', 'python', 'r']"
r,"Bash/Shell, Python, R",79000.0,101000.0,"['bash/shell', 'python', 'r']"
bash/shell,"Bash/Shell, Perl",80000.0,100000.0,"['bash/shell', 'perl']"
css,"CSS, HTML, Javascript, PHP, Python, SQL",50000.0,60240.96,"['css', 'html', 'javascript', 'php', 'python', 'sql']"
